Country Name,Country Code,Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bolivia,BOL,"Population ages 15-64, male",2464652,2520533,2578090,2636901,2696716,2755038,2815218,2876881,2939474,3002658,3066074,3129428,3193145,3257947,3324048,3388250,3454131,3520987,3587524,3652954,3718365
Bolivia,BOL,"Population ages 65 and above, female",244710,252447,260515,269188,278655,287842,297650,308047,318942,330325,342375,354708,367397,380506,394114,408604,423441,438604,454087,469981,484713
Bolivia,BOL,"Population ages 65 and above, male",211008,217569,224313,231477,239207,247418,256101,265216,274654,284371,295192,306155,317285,328637,340256,352663,365198,377907,390819,404006,416505
Bosnia and Herzegovina,BIH,"Population ages 0-14, male",391916,380502,366960,354010,343164,331456,323593,317543,310232,300494,296494,288789,279401,271779,267538,258616,253989,251679,248994,244784,239367
Bosnia and Herzegovina,BIH,"Population ages 0-14, female",369517,358655,345874,333652,323370,312213,304645,298786,291802,282638,279452,272940,264950,258560,255151,246654,241896,239134,236046,231668,226351
Bosnia and Herzegovina,BIH,"Population ages 15-64, female",1285771,1286140,1287988,1290967,1294740,1300834,1305596,1307901,1306432,1299863,1283774,1264950,1244918,1224466,1204230,1184037,1162548,1141305,1122186,1105722,1093691
Bosnia and Herzegovina,BIH,"Population ages 15-64, male",1276232,1279165,1283670,1289148,1295121,1302818,1308368,1311064,1310306,1305211,1288368,1269350,1249111,1227804,1205846,1186359,1165236,1144338,1125956,1110857,1099273
Bosnia and Herzegovina,BIH,"Population ages 65 and above, female",255966,268150,280409,290654,297707,302779,304273,303582,302911,303440,300588,297835,294689,291315,288638,295849,304818,315115,325967,336816,345590
Bosnia and Herzegovina,BIH,"Population ages 65 and above, male",176112,186777,197278,205763,211230,215322,216316,215385,214262,213832,212497,211108,209529,208182,207959,214748,223047,232358,241849,250968,259187
Botswana,BWA,"Population ages 0-14, male",321909,323850,326130,328671,331538,335676,339975,344154,347893,350891,355517,359684,363831,368580,374483,378581,383329,388379,393188,397261,400435
Botswana,BWA,"Population ages 0-14, female",316347,318243,320527,322967,325519,329096,332594,336141,339936,343968,347557,351632,356152,360954,365999,371169,376009,380508,384640,388272,391159
Botswana,BWA,"Population ages 15-64, female",515221,527687,539659,551861,564676,577513,591272,605391,619046,631786,643347,653723,663581,673919,685403,698426,713135,728924,744931,760631,776265
Botswana,BWA,"Population ages 15-64, male",466948,480130,492955,506338,520757,535345,551329,567553,582307,594554,600004,602704,604379,607443,613467,626258,642465,661029,680357,699355,717786
Botswana,BWA,"Population ages 65 and above, female",31720,32189,32649,33234,34012,34941,36069,37292,38455,39488,41073,42572,44123,45925,48098,50616,53463,56614,60016,63623,67246
Botswana,BWA,"Population ages 65 and above, male",22529,22538,22467,22462,22575,23340,24219,25105,25858,26419,27908,29236,30485,31798,33266,34875,36675,38613,40571,42483,44349
